type,number,title,login,labels,assignees,milestone,comments,"fixes issues","issue milestones",created_at
Issue,5274,"Member search does not work properly - date mismatch?",Arantor,"Has fix, Search",,Final,5,,,2018-12-25
Issue,5267,"Private Message sent via Warning system has no recipient when replying",shnazzle,"Has fix, PM",,Final,25,,,2018-12-24
PR,5231,"Fixing Website Sort and Group sort for pg",albertlast,PostgreSQL,,Final,1,,,2018-12-22
PR,5222,"Fixing Pg pool connection and empty ip field error handling",albertlast,PostgreSQL,,Final,0,,,2018-12-21
PR,5197,"Improve the Query ""Posting activity by time""",albertlast,"Database, Enhancement",,Final,6,,,2018-12-12
PR,5180,"revamp database escaping fixes #5178",albertlast,Database,,,12,,,2018-11-29
Issue,5165,"Inconsistency with inline image attachments",Oldiesmann,Attachments,,Final,1,,,2018-11-23
Issue,5134,"Undefined offset for unapproved atachments",Underdog-01,Attachments,,Final,6,,,2018-11-10
Issue,5108,"utfmb4 database",Underdog-01,Database,,Final,21,,,2018-11-01
Issue,5106,"Need to provide unsubscribe links for announcement emails",Sesquipedalian,GDPR,Sesquipedalian,RC3,1,,,2018-10-31
PR,5102,"Some scrutinizer fixes",albertlast,Housekeeping,,Final,1,,,2018-10-30
Issue,5082,"Possible exploits in mentions?",Gwenwyfar,"Mentions, Notifications, Question",,Final,6,,,2018-10-23
PR,5081,"Allows full XML-based export of profile, posts, and personal messages",Sesquipedalian,GDPR,,RC3,20,,,2018-10-22
PR,4894,"[WIP] Added config_var type richedit to admin template",albertlast,"New feature",,Final,4,,,2018-08-06
PR,4892,"Add Privacy System to smf",albertlast,"GDPR, New feature",,RC3,50,,,2018-08-04
PR,4877,"Better Ban Edit flow",albertlast,Enhancement,,,4,,,2018-07-28
PR,4875,"Assign the array to saveTriggers function fixes #4867",albertlast,Moderation,,RC3,6,4867,RC3,2018-07-27
Issue,4867,"Cannot properly edit ban trigger",Arantor,"Has fix, Moderation",,RC3,2,,,2018-07-23
Issue,4713,"Mobile theme issues",Gwenwyfar,Theme,,Final,11,,,2018-04-14
Issue,4700,"show drafts link",illori,Enhancement,,Final,5,,,2018-04-05
Issue,4698,"editor keyboard shortcuts",illori,Editor,,,0,,,2018-04-05
Issue,4697,"Enable automatic saving of drafts",illori,Permissions,,Final,7,,,2018-04-05
Issue,4605,"Search allows query by wildcard only",Gwenwyfar,"Question, Search",,Final,6,,,2018-03-10
Issue,4595,"Better acessibility support",Gwenwyfar,Enhancement,,Final,2,,,2018-03-08
Issue,4541,"Add language fails to connect",Gwenwyfar,Language,,,7,,,2018-02-10
Issue,4361,"CAPTCHA doesn't work without GD",Arantor,Anti-spam,MissAllSunday,Final,7,,,2017-10-17
Issue,4066,"error log not all in default language",illori,Language,,RC3,15,,,2017-05-24
Issue,2878,"custom profile fields showing on buddy list in profile",illori,"Profile Fields",,Final,14,,,2015-05-24
Issue,2020,"grammar issue... 1 days",illori,Language,,Final,47,,,2014-07-02
Issue,473,"Moderation center menu permissions",illori,"Minor Bug, Moderation",,,5,,,2013-06-27
Issue,379,"unapprove first post, not unapprove thread",illori,"Enhancement, Moderation",,,8,,,2013-05-29
